Compound,Date,Negative,Neutral,News Organization,Positive,Tweet Text,Tweets Ago
0.0,2018-06-10 00:29:59+00:00,0.0,1.0,BBCWorld,0.0,Donating money to homeless people using your phone https://t.co/IVR4az9VH7,1
0.0,2018-06-10 00:29:59+00:00,0.0,1.0,BBCWorld,0.0,The Belgian students revising with monks at a monastery https://t.co/DgQqx4kblg,2
-0.3182,2018-06-10 00:25:18+00:00,0.187,0.813,BBCWorld,0.0,The other Balochistan: Six stories of life in a conflict zone https://t.co/z1VypEcqAD,3
-0.4404,2018-06-10 00:16:02+00:00,0.367,0.633,BBCWorld,0.0,Long watch: Russia's dirty secret https://t.co/NvTiqgmgCv,4
0.0,2018-06-09 22:40:30+00:00,0.0,1.0,BBCWorld,0.0,G7 summit: $3bn pledge for girls' education https://t.co/lzB0N8d2dG,5
0.3309,2018-06-09 22:10:00+00:00,0.0,0.728,BBCWorld,0.272,G7 commits to 'rules-based trading system' despite tensions with US https://t.co/lF9GGvnUlW,6
-0.5106,2018-06-09 19:39:30+00:00,0.32,0.68,BBCWorld,0.0,UN condemns Central African Republic hospital raids https://t.co/93Wa37cReV,7
0.5423,2018-06-09 19:14:02+00:00,0.0,0.741,BBCWorld,0.259,Trump: Kim has one shot at peace at Singapore summit https://t.co/BA8DNNKFPu,8
-0.6486,2018-06-09 17:20:32+00:00,0.431,0.569,BBCWorld,0.0,Disruptive passenger on Jet2 flight banned for life https://t.co/Y0tzheYt6b,9
0.0258,2018-06-09 16:16:27+00:00,0.111,0.773,BBCWorld,0.116,Inside Afghanistan's only secure psychiatric unit.  The BBC investigates the lasting effects of conflict in the cou… https://t.co/pUmnntT4C7,10
0.3612,2018-06-09 15:54:18+00:00,0.0,0.857,BBCWorld,0.143,"Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",11
-0.8225,2018-06-09 15:18:41+00:00,0.458,0.542,BBCWorld,0.0,Iraq arrests asylum seeker wanted in Germany for Wiesbaden murder https://t.co/mRHxslzEMD,12
0.0,2018-06-09 15:18:41+00:00,0.0,1.0,BBCWorld,0.0,French Open 2018: Simona Halep beats Sloane Stephens in final https://t.co/HdiRgt3kuq,13
0.5719,2018-06-09 15:11:50+00:00,0.0,0.821,BBCWorld,0.179,"RT @BBCNews: Trooping the Colour: Four things about the event that celebrates the Queen's official birthday
👑
https://t.co/YHGc0NYNxv https…",14
0.5423,2018-06-09 14:45:18+00:00,0.0,0.851,BBCWorld,0.149,"US President @realDonaldTrump says he is ""on a mission of peace"" when he travels to Singapore to meet Kim Jong-un f… https://t.co/LyCpbbjImh",15
0.5859,2018-06-09 14:30:38+00:00,0.0,0.78,BBCWorld,0.22,"""The United States has been taken advantage of for decades.. and we can't do that anymore""- US President… https://t.co/iiAxrXtx8U",16
0.0,2018-06-09 13:57:56+00:00,0.0,1.0,BBCWorld,0.0,"The first Bond girl, Eunice Grayson, dies at 90 https://t.co/iaWJA0aKui",17
-0.802,2018-06-09 13:39:33+00:00,0.419,0.581,BBCWorld,0.0,"RT @BBCAfrica: MacBeth Sibaya: Racism in South Africa worse than Russia 

https://t.co/pfCrGOBoIS",18
0.0,2018-06-09 13:39:17+00:00,0.0,1.0,BBCWorld,0.0,Vatican ex-diplomat on trial for 'child pornography' https://t.co/FQKuqa2yHw,19
-0.0516,2018-06-09 13:22:11+00:00,0.107,0.794,BBCWorld,0.099,"Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔… https://t.co/zVip7wCxvn",20
0.0,2018-06-09 12:19:26+00:00,0.0,1.0,BBCWorld,0.0,RT @BBCNews: The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's official birthd…,21
-0.7184,2018-06-09 12:19:22+00:00,0.231,0.769,BBCWorld,0.0,"RT @BBCNews: A 41 gun salute is fired to mark the Queen's official birthday at the Trooping the Colour ceremony in London 
#TroopingtheColo…",22
0.5859,2018-06-09 11:32:15+00:00,0.0,0.593,BBCWorld,0.407,Climate change: Pope urges action on clean energy https://t.co/ANRAS2l9Bv,23
0.0,2018-06-09 11:20:53+00:00,0.0,1.0,BBCWorld,0.0,John Lasseter: Disney animation head to quit after misconduct claims https://t.co/VbE84nBTtd,24
0.1027,2018-06-09 11:20:53+00:00,0.167,0.641,BBCWorld,0.192,French Open 2018: Simona Halep aims for maiden Grand Slam title https://t.co/ygHKq9Q1mH,25
0.0,2018-06-09 10:57:49+00:00,0.0,1.0,BBCWorld,0.0,RT @BBCNews: The Trooping the Colour parade which marks the Queen's official birthday is underway in London. The Queen and Duke and Duchess…,26
0.0,2018-06-09 10:57:48+00:00,0.0,1.0,BBCWorld,0.0,Trump and Macron in handshake showdown at G7 summit https://t.co/ZlG6Um7Px8,27
0.3612,2018-06-09 10:44:05+00:00,0.0,0.8,BBCWorld,0.2,Bride of Belsen Holocaust survivor Gena Turgel dies aged 95 https://t.co/XAZF4wgBUs,28
0.0,2018-06-09 09:10:36+00:00,0.0,1.0,BBCWorld,0.0,"Form is temporary, class is permanent. Which counts more at the World Cup? 
⚽🏃‍♂️ @BBCRealityCheck has crunched the… https://t.co/XCRql73q54",29
0.0,2018-06-09 09:09:05+00:00,0.0,1.0,BBCWorld,0.0,Game of Thrones: HBO orders spinoff prequel pilot https://t.co/S4ucN26bky,30
0.0,2018-06-09 07:07:31+00:00,0.0,1.0,BBCWorld,0.0,G7 summit dogged by divisions between Trump and allies https://t.co/MHXoMA7KVo,31
0.3612,2018-06-09 06:07:41+00:00,0.0,0.737,BBCWorld,0.263,Taliban agree three-day Eid ceasefire in Afghanistan https://t.co/WaVmsIdso0,32
0.3182,2018-06-09 03:52:37+00:00,0.145,0.611,BBCWorld,0.244,Anthony Bourdain: Chef breaks into tears remembering his friend https://t.co/VMvl8KSq3W,33
0.0,2018-06-09 03:34:58+00:00,0.246,0.508,BBCWorld,0.246,Jobless young Italians abandon charms of south https://t.co/FcqWWWTKu2,34
-0.1027,2018-06-09 03:14:00+00:00,0.123,0.877,BBCWorld,0.0,India women pay tribute to Bollywood star Sridevi through cosplay https://t.co/rQjWBWWd3p,35
-0.6369,2018-06-09 03:09:29+00:00,0.318,0.682,BBCWorld,0.0,Tayyaba abuse case shines light on Pakistan's child maids https://t.co/sXsjI8bXcA,36
0.0,2018-06-09 01:59:35+00:00,0.0,1.0,BBCWorld,0.0,Maria Esther Bueno: Brazilian star of 1960s women's tennis dies https://t.co/hlcUIRhgcV,37
0.0,2018-06-09 01:34:07+00:00,0.0,1.0,BBCWorld,0.0,Trump Kim summit: Who's pulling the strings? https://t.co/GROmz0qgIX,38
0.0,2018-06-09 01:26:51+00:00,0.0,1.0,BBCWorld,0.0,Week in pictures: 2 - 8 June 2018 https://t.co/04QX8UWGZr,39
0.0,2018-06-09 00:33:12+00:00,0.0,1.0,BBCWorld,0.0,Anthony Bourdain: Why his travel shows had global appeal https://t.co/lrP0LJKC7n,40
-0.4939,2018-06-08 23:10:00+00:00,0.262,0.738,BBCWorld,0.0,China hackers steal data from US Navy contractor - reports https://t.co/A0UxMnLFFj,41
0.3612,2018-06-08 23:10:00+00:00,0.0,0.783,BBCWorld,0.217,Why Russian workers are being taught how to smile https://t.co/K2vn2PyLt3,42
0.4277,2018-06-08 23:10:00+00:00,0.0,0.712,BBCWorld,0.288,'They keep me here so I can't attack' https://t.co/uqG5k3pvIF,43
-0.3612,2018-06-08 23:10:00+00:00,0.2,0.8,BBCWorld,0.0,Barbed wire and smuggled crabs: Watching North Korea from China https://t.co/Vjgk1HoL9H,44
-0.6705,2018-06-08 22:27:18+00:00,0.36,0.64,BBCWorld,0.0,Why US suicide rate is on the rise https://t.co/6jqRzwhm8Q,45
0.0,2018-06-08 21:49:36+00:00,0.0,1.0,BBCWorld,0.0,US election 2018: The women lining up to topple Trump https://t.co/LOGxNymdY4,46
0.0,2018-06-08 21:49:36+00:00,0.0,1.0,BBCWorld,0.0,'Kim and Trump' buddy up in Singapore https://t.co/G0i7WJ60Kp,47
0.0,2018-06-08 20:26:04+00:00,0.0,1.0,BBCWorld,0.0,Cuba 'sonic attack': US tests two more Havana embassy staff https://t.co/rUEbx6eGMs,48
-0.6705,2018-06-08 20:02:34+00:00,0.429,0.571,BBCWorld,0.0,US soldier killed in Somalia firefight https://t.co/rEudHbzFIX,49
0.0258,2018-06-08 19:57:33+00:00,0.0,0.845,BBCWorld,0.155,Why Turkey’s election matters to you https://t.co/ZvjTjYB9NB,50
-0.2732,2018-06-08 19:50:10+00:00,0.231,0.769,BBCWorld,0.0,Mueller charges Manafort's right-hand man Konstantin Kilimnik https://t.co/q8UkWe7lxS,51
0.0,2018-06-08 18:36:08+00:00,0.0,1.0,BBCWorld,0.0,"RT @BBCBreaking: World leaders assemble for 'family photo' at G7 summit in Canada 

https://t.co/9TJ4sS5Kev https://t.co/ZWUrmO3cV5",52
0.0,2018-06-08 18:19:47+00:00,0.0,1.0,BBCWorld,0.0,Anthony Bourdain: Five of his tips for eating out https://t.co/LtHrUA3UZf,53
0.4939,2018-06-08 18:17:32+00:00,0.0,0.738,BBCWorld,0.262,Could an emoji save your life in an earthquake? https://t.co/XYrmKybk1h,54
0.2263,2018-06-08 17:50:19+00:00,0.0,0.826,BBCWorld,0.174,US 'grants extradition' of former Panama President Ricardo Martinelli https://t.co/UAW2FYapUv,55
0.0,2018-06-08 16:19:04+00:00,0.0,1.0,BBCWorld,0.0,"RT @BBCSport: Incredible.

Rafael Nadal is in the French Open final AGAIN.

LIVE👉https://t.co/9uGaa6ApEd
📻 @5livesport extra
#bbctennis #RG…",56
0.0,2018-06-08 16:18:56+00:00,0.0,1.0,BBCWorld,0.0,Pilot dies after plane crash-lands in Melbourne https://t.co/EMeKHmKRYj,57
0.0,2018-06-08 16:18:55+00:00,0.0,1.0,BBCWorld,0.0,Photojournalist Duncan dies aged 102 https://t.co/UiTmSm6hu9,58
0.0,2018-06-08 15:26:20+00:00,0.0,1.0,BBCWorld,0.0,Alligator knocks out trapper in Florida https://t.co/tVJz096hfE,59
0.4003,2018-06-08 15:11:34+00:00,0.0,0.828,BBCWorld,0.172,"👨 See you later alligator! 
🐊 You're not getting rid of me that easily 

https://t.co/qQ1cgJlABC https://t.co/k42qn8mVcx",60
0.7506,2018-06-08 14:57:55+00:00,0.0,0.484,BBCWorld,0.516,Anthony Bourdain tributes celebrate his #MeToo support https://t.co/NHWLK8aJEa,61
-0.0258,2018-06-08 14:57:55+00:00,0.189,0.629,BBCWorld,0.182,Ghana football head Kwesi Nyantakyi banned by Fifa over 'cash gift' https://t.co/KsfCRCM7gT,62
0.0,2018-06-08 14:46:00+00:00,0.0,1.0,BBCWorld,0.0,Congo warlord's conviction overturned https://t.co/5wXHGlhCwB,63
-0.4767,2018-06-08 14:36:31+00:00,0.181,0.819,BBCWorld,0.0,RT @bbcworldservice: How these children in Uganda are being taught to spot 'fake news'. https://t.co/bFElDeRRfs,64
0.5859,2018-06-08 14:35:20+00:00,0.0,0.678,BBCWorld,0.322,RT @BBCNews: The Queen has successful cataract operation https://t.co/xsbqmA0rT5,65
0.0,2018-06-08 14:26:27+00:00,0.0,1.0,BBCWorld,0.0,Chimamanda Ngozi Adichie: Changing men and opening doors https://t.co/ByW9IlvCmJ,66
-0.3182,2018-06-08 14:26:27+00:00,0.247,0.753,BBCWorld,0.0,The ghost village being reclaimed by nature https://t.co/vQ4NLtHSKq,67
-0.9371,2018-06-08 13:53:16+00:00,0.643,0.357,BBCWorld,0.0,Susanna Feldman murder: Suspect in German teen's killing arrested in Iraq https://t.co/NzRl3TOjBY,68
0.2263,2018-06-08 13:22:41+00:00,0.131,0.654,BBCWorld,0.215,Muhammad Ali: President Trump mulls draft dodging pardon https://t.co/sE4Vgx0o3z,69
0.2023,2018-06-08 12:26:05+00:00,0.0,0.816,BBCWorld,0.184,South African company apologises for sexist beer campaign https://t.co/lio95mz2Vs,70
-0.6486,2018-06-08 12:04:07+00:00,0.158,0.842,BBCWorld,0.0,"RT @BBCBreaking: US celebrity chef and writer Anthony Bourdain found dead in French hotel room at age of 61, his employer CNN says https://…",71
-0.6486,2018-06-08 11:34:10+00:00,0.35,0.65,BBCWorld,0.0,Anthony Bourdain: Celebrity chef found dead at 61 https://t.co/CSe1SfLbyh,72
0.7407,2018-06-08 11:18:49+00:00,0.175,0.489,BBCWorld,0.336,"RT @BBC_HaveYourSay: What do you do when a loved one suffers from depression? If you are happy to do so, please share your stories with us.…",73
0.0,2018-06-08 11:16:57+00:00,0.0,1.0,BBCWorld,0.0,"RT @BBCSteveR: President Putin's TV phone-in: ""democracy in action"" or ""the product of an inefficient system""?  My quick take on the marath…",74
0.0,2018-06-08 11:09:25+00:00,0.0,1.0,BBCWorld,0.0,RT @BBCEarth: Sir David Attenborough’s message for #WorldOceansDay. 🌊💙 https://t.co/H7x7bD25hZ,75
-0.4939,2018-06-08 10:40:11+00:00,0.314,0.686,BBCWorld,0.0,Stolen Christopher Columbus letter returned to Spain https://t.co/A9KGNYDvOz,76
0.0258,2018-06-08 10:30:17+00:00,0.0,0.879,BBCWorld,0.121,Fortnite player first to reach elusive game island https://t.co/m5yHE8weV7,77
-0.2263,2018-06-08 10:15:03+00:00,0.213,0.787,BBCWorld,0.0,Airbnb cancels thousands of bookings in Japan https://t.co/DVjm9AfyT1,78
0.0,2018-06-08 10:07:59+00:00,0.0,1.0,BBCWorld,0.0,Chinese house demolition halted because of swallow residents https://t.co/lfRVqFAXOW,79
0.0,2018-06-08 09:53:26+00:00,0.0,1.0,BBCWorld,0.0,Lullaby written for school-shooting drills https://t.co/drHquGiiyy,80
0.0,2018-06-08 09:47:46+00:00,0.0,1.0,BBCWorld,0.0,RT @bbcworldservice: What's happening to Botswana's disappearing birds of prey? https://t.co/r7ap3kXJhl,81
0.0,2018-06-08 09:35:22+00:00,0.0,1.0,BBCWorld,0.0,"""Who could survive this heat?"" 
Eddie Santiago returns to search for his family after the Guatemala volcano 🌋… https://t.co/GuW3Knrc7s",82
-0.4767,2018-06-08 09:32:25+00:00,0.279,0.721,BBCWorld,0.0,Trump-Kim summit: S Korean reporters arrested over N Korea 'trespass' https://t.co/wanY1HqpZg,83
0.0258,2018-06-08 09:12:06+00:00,0.0,0.945,BBCWorld,0.055,"Turkey is holding early elections so why does it matter? 🇹🤔
Here's the BBC's Turkey correspondent @marklowen on wha… https://t.co/s8deGwPfGA",84
-0.4404,2018-06-08 09:07:25+00:00,0.244,0.756,BBCWorld,0.0,Austria to shut seven 'political' mosques and expel imams https://t.co/40EAL3221A,85
0.0,2018-06-08 08:57:48+00:00,0.0,1.0,BBCWorld,0.0,Making food crops that feed themselves https://t.co/L4gtmnZYwq,86
0.3612,2018-06-08 07:26:35+00:00,0.0,0.839,BBCWorld,0.161,"RT @BBC_HaveYourSay: ""My name is Michael Patterson, sir. Thank you for delivering me."" 

https://t.co/4ktgD2zmIx",87
-0.5994,2018-06-08 07:04:28+00:00,0.281,0.719,BBCWorld,0.0,Tariffs and Trump: War of words ahead of G7 summit https://t.co/biWNYzibei,88
-0.4019,2018-06-08 07:04:00+00:00,0.129,0.815,BBCWorld,0.056,"RT @BBCStreeter: France has banned mobile phones in schools, should other countries do the same? On #bbcbizlive ⁦⁦@BBCBusiness⁩ we want to…",89
0.0,2018-06-08 06:21:39+00:00,0.0,1.0,BBCWorld,0.0,Australia indigenous treaties: Historic steps 'beginning of journey' https://t.co/xCgiEZ6arL,90
-0.3818,2018-06-08 03:11:30+00:00,0.206,0.794,BBCWorld,0.0,Big fight to bring arm wrestling to South Africa's townships https://t.co/Fj7KlFhCN2,91
0.5423,2018-06-08 03:11:30+00:00,0.0,0.696,BBCWorld,0.304,Trump-Kim summit: Can you achieve peace on a plate? https://t.co/N7eeTPsyH3,92
0.0964,2018-06-08 03:08:52+00:00,0.102,0.783,BBCWorld,0.115,RT @BBCMaryam: French school kids are to be banned from using mobile phones on school grounds in France from Sept. Is this a good thing ? O…,93
0.0,2018-06-08 02:31:17+00:00,0.0,1.0,BBCWorld,0.0,Doug Ford: Ex-Toronto mayor's brother set to be Ontario premier https://t.co/Te5Kj7pBl4,94
0.2023,2018-06-08 02:10:24+00:00,0.0,0.833,BBCWorld,0.167,IMF agrees to loan up to $50bn for Argentina https://t.co/mE818MXK46,95
0.0,2018-06-08 01:36:11+00:00,0.0,1.0,BBCWorld,0.0,Canada moves a step closer to legalising marijuana https://t.co/g31HAMjAqT,96
0.0,2018-06-08 01:18:43+00:00,0.0,1.0,BBCWorld,0.0,"US to send 1,600 immigration detainees to federal prisons https://t.co/JisMU9COyf",97
0.3182,2018-06-08 00:33:47+00:00,0.0,0.897,BBCWorld,0.103,US President Donald Trump said he would consider inviting North Korea's Kim Jong-un to the White House if their sum… https://t.co/Qux6rLCASx,98
-0.1531,2018-06-07 23:56:30+00:00,0.182,0.682,BBCWorld,0.136,UN sanctions top people smugglers in Libya in global first https://t.co/GLAS7ok1EY,99
0.3182,2018-06-07 23:46:56+00:00,0.0,0.796,BBCWorld,0.204,Mexico candidate López Obrador thrives on promise of change https://t.co/629EgGPCut,100
0.0,2018-06-10 00:48:09+00:00,0.0,1.0,CBSNews,0.0,"Trump departs for summit in Singapore, skipping G-7 environmental sessions https://t.co/FC1u9Ny5sK https://t.co/Veh2W3MFbE",1
0.4019,2018-06-10 00:39:53+00:00,0.0,0.881,CBSNews,0.119,The Afghan Taliban announced a 3-day cease-fire for the Eid al-Fitr holiday at the end of the holy month of Ramadan… https://t.co/NLq7Qc8XhW,2
0.0,2018-06-10 00:33:05+00:00,0.0,1.0,CBSNews,0.0,CBS correspondent David Begnaud reflects on Hurricane Maria coverage https://t.co/UebvutaUAL https://t.co/4td0QEKE22,3
-0.5106,2018-06-10 00:19:48+00:00,0.19,0.717,CBSNews,0.093,"""It is a myth that asking about suicide will cause someone to commit suicide"": Experts offer insight on interventio… https://t.co/C39yHeTW7Q",4
0.0,2018-06-10 00:18:06+00:00,0.0,1.0,CBSNews,0.0,"Salmonella outbreak linked to pre-cut melon, CDC says https://t.co/GMtu4dU8Dr https://t.co/johqZotKxx",5
0.1531,2018-06-10 00:04:30+00:00,0.089,0.789,CBSNews,0.121,"President Trump retracted his endorsement of the G7 final statement, accusing Canadian Prime Minister Justin Trudea… https://t.co/FRTU8K4Rnn",6
0.3182,2018-06-10 00:03:05+00:00,0.0,0.796,CBSNews,0.204,Trump retracts his endorsement of G7 final statement https://t.co/o1t0LY1dio https://t.co/2ll3I6lfMC,7
0.0,2018-06-09 23:59:33+00:00,0.0,1.0,CBSNews,0.0,"Electric cars are already here. Now, companies are looking to move the technology into another space: airplanes.… https://t.co/T10sEfg5Tp",8
-0.7351,2018-06-09 23:48:04+00:00,0.383,0.617,CBSNews,0.0,Anthony Bourdain’s death means loss of a voice for immigrant workers https://t.co/XR9rIRAIp3 https://t.co/7Cq0bRbWgq,9
-0.0772,2018-06-09 23:39:36+00:00,0.056,0.944,CBSNews,0.0,President Trump said it won't take long for him to tell if North Korean leader Kim Jong Un is serious about denucle… https://t.co/MM1ozFQocY,10
-0.5859,2018-06-09 23:33:05+00:00,0.242,0.758,CBSNews,0.0,Fire department issues warning about kids getting burned by garden hoses left in the sun https://t.co/26BU9veuDz https://t.co/P9MQ6pfCTF,11
-0.1779,2018-06-09 23:18:06+00:00,0.295,0.476,CBSNews,0.229,5 dangerous myths about Social Security https://t.co/GcxBxFGNsc https://t.co/Yw9A0upTPt,12
0.0,2018-06-09 23:03:06+00:00,0.0,1.0,CBSNews,0.0,"Andrew Lloyd Webber, iconic composer, reflects on his career and what makes a show endure https://t.co/yw9LYAJh82 https://t.co/7eOqGB13T0",13
-0.1154,2018-06-09 23:00:28+00:00,0.065,0.935,CBSNews,0.0,"He risked his life, traveling thousands of miles to cross the U.S. border, but his journey is far from over. Stream… https://t.co/LbX3HrY2W6",14
0.8176,2018-06-09 22:54:26+00:00,0.0,0.681,CBSNews,0.319,"Justify wins the 150th Belmont Stakes, becoming the 13th horse in history to win the Triple Crown… https://t.co/hSAI2Li00E",15
0.296,2018-06-09 22:39:39+00:00,0.0,0.879,CBSNews,0.121,The family in charge of the Singapore hotel hosting the U.S.-North Korea summit shares Trump-like ambition… https://t.co/2CrEnrgTDN,16
0.3818,2018-06-09 22:19:39+00:00,0.0,0.894,CBSNews,0.106,"""A lot of people in Congress are focused on what's going to happen tomorrow, not what's going to happen in 2026"": T… https://t.co/iVUotZcDZB",17
-0.6705,2018-06-09 22:19:39+00:00,0.2,0.8,CBSNews,0.0,California Officials say wildfires last year that killed 15 are attributable to Pacific Gas &amp; Electric Co. equipmen… https://t.co/a50mKES8Ss,18
-0.4767,2018-06-09 21:59:49+00:00,0.14,0.86,CBSNews,0.0,The Category 4 hurricane brewing off the coast of Mexico and Baja California Sur will make for dangerous swells and… https://t.co/cWAlq5t2sx,19
0.5719,2018-06-09 21:39:56+00:00,0.0,0.85,CBSNews,0.15,Buildings in the Bay Area lit up blue and gold overnight as fans celebrated the Golden State @Warriors' third NBA c… https://t.co/ec26P3ueg3,20
-0.5216,2018-06-09 21:19:31+00:00,0.144,0.856,CBSNews,0.0,"Volkswagen's plan to end production of the iconic model won't change the love many owners have for their ""bugs""— or… https://t.co/rs7fn7GOJn",21
-0.6369,2018-06-09 20:59:38+00:00,0.189,0.811,CBSNews,0.0,"Toxic abuse has long been a staple of darker social-media realms, message boards and internet comments pages -- but… https://t.co/78lXrTPDdd",22
0.2755,2018-06-09 20:40:21+00:00,0.0,0.905,CBSNews,0.095,"Prince George may be Britain's future king, but his cousin Savannah Phillips isn't shy about telling him to quiet d… https://t.co/RWpQeA8K3b",23
-0.3182,2018-06-09 20:19:24+00:00,0.108,0.892,CBSNews,0.0,As this year's Puerto Rican Day Parade draws attention to the island's continued struggle in the wake of Hurricane… https://t.co/HulKjfBHpo,24
-0.4939,2018-06-09 20:02:01+00:00,0.158,0.842,CBSNews,0.0,A salmonella outbreak spanning eight states that infected 60 and hospitalized 31 has been connected to pre-cut melo… https://t.co/4YO6g3W7vD,25
0.6369,2018-06-09 19:42:37+00:00,0.0,0.856,CBSNews,0.144,"RT @CBSSunday: TOMORROW 

Jim Parsons, best known for his work in front of the camera on @bigbangtheory &amp; on the stage in the revival of @B…",26
-0.5106,2018-06-09 19:39:57+00:00,0.19,0.717,CBSNews,0.093,"""It is a myth that asking about suicide will cause someone to commit suicide"": Experts offer insight on interventio… https://t.co/cQwktOodtT",27
-0.3182,2018-06-09 19:19:51+00:00,0.155,0.845,CBSNews,0.0,"President Trump cut his G-7 attendance short to leave for the summit in Singapore, leaving other leaders to discuss… https://t.co/drnDIHeJK9",28
-0.4019,2018-06-09 19:00:22+00:00,0.212,0.671,CBSNews,0.117,"Shahab fled Iran after he was beaten and jailed for converting to Christianity. Now in the U.S., he’s free from all… https://t.co/0fctuXaeRS",29
0.1779,2018-06-09 18:40:11+00:00,0.075,0.809,CBSNews,0.116,Russian President Vladimir Putin was caught delicately crafting dumplings Friday during his visit to China https://t.co/beLeCP6unJ,30
0.0,2018-06-09 18:21:23+00:00,0.0,1.0,CBSNews,0.0,Doctors told her parents she likely wouldn't live long— then that she would never walk. This 19-year-old with cereb… https://t.co/SKziTGHEFj,31
0.765,2018-06-09 18:14:56+00:00,0.0,0.761,CBSNews,0.239,The 2018 Belmont Stakes is set to take place this evening -- and one horse is hoping to win the Triple Crown… https://t.co/lQDgMcPIPd,32
0.0,2018-06-09 17:50:04+00:00,0.0,1.0,CBSNews,0.0,"Ahead of the highly-anticipated summit with North Korea, @CBSEveningNews anchor @JeffGlor is in Singapore:… https://t.co/MnZjShPdgw",33
0.0,2018-06-09 17:29:57+00:00,0.0,1.0,CBSNews,0.0,"Electric cars are already here. Now, companies are looking to move the technology into another space: airplanes.… https://t.co/JhtJSzubZs",34
0.0,2018-06-09 17:16:39+00:00,0.0,1.0,CBSNews,0.0,RT @CBSThisMorning: .@TheTonyAwards are on @CBS tomorrow night! Here’s a look at some of the preparations ahead of Broadway’s biggest night…,35
-0.0772,2018-06-09 17:10:21+00:00,0.056,0.944,CBSNews,0.0,President Trump said it won't take long for him to tell if North Korean leader Kim Jong Un is serious about denucle… https://t.co/sKVAqhatkJ,36
